5	[15.750893351008985, 0.2655339636770371]
6	[15.792100386238655, 0.2635152065019806]
7	[15.355860186517992, 0.2718920115492389]
8	[15.183319129973965, 0.2669814640245942]
9	[15.628699504545464, 0.2681930238852252]
1	[14.45590621654401, 0.27021365430256294]
10	[15.630653491516535, 0.2698548201597389]
11	[15.021365478005501, 0.2683414051422672]
12	[13.840743168066037, 0.28595242108606034]
2	[14.45836836699242, 0.2689014669580059]
3	[14.978195055597974, 0.271484091141687]
4	[15.398599497065803, 0.28560130123274985]
