[41.91, -87.68]	157246
[41.92, -87.81]	170
[41.93, -87.77]	1859
[41.95, -87.86]	2
[41.98, -87.83]	3
[41.99, -87.79]	414
[41.75, -87.69]	1
[41.8, -87.65]	539
[41.81, -87.77]	975
[41.84, -87.63]	26636
[41.91, -87.78]	28
[41.94, -87.64]	202200
[41.96, -87.73]	2404
[41.97, -87.69]	8692
[42.04, -87.75]	2578
[42.07, -87.9]	1
[41.72, -87.63]	38
[41.78, -87.65]	115
[41.8, -87.75]	393
[41.82, -87.64]	16166
[41.84, -87.73]	993
[41.85, -87.69]	7236
[41.88, -87.66]	482377
[41.92, -87.65]	1266859
[41.94, -87.74]	6379
[41.96, -87.83]	1228
[41.97, -87.79]	89
[41.98, -87.67]	16817
[42.0, -87.74]	272
[42.02, -87.76]	1101
[41.75, -87.7]	5
[41.76, -87.66]	6
[41.82, -87.74]	180
[41.85, -87.79]	288
[41.86, -87.67]	31100
[41.86, -87.7]	4080
[41.88, -87.76]	7
[41.9, -87.62]	20245
[41.92, -87.75]	12577
[41.94, -87.84]	86
[41.97, -87.7]	3331
[41.97, -87.89]	2349
[41.98, -87.77]	426
[41.7, -87.63]	5
[41.74, -87.67]	36
[41.79, -87.62]	329
[41.8, -87.59]	5
[41.83, -87.61]	1721
[41.86, -87.77]	416
[41.89, -87.63]	18514928
[41.9, -87.72]	54971
[41.95, -87.71]	26892
[41.96, -87.67]	75323
[41.98, -87.87]	443
[41.99, -87.8]	8
[42.03, -87.73]	7
[42.05, -87.82]	953
[42.06, -87.78]	11
[42.08, -87.87]	10
[41.77, -87.63]	1060
[41.78, -87.59]	33
[41.79, -87.72]	14
[41.8, -87.69]	165
[41.81, -87.62]	1349
[41.83, -87.71]	15431
[41.84, -87.67]	6975
[41.87, -87.64]	317654
[41.89, -87.73]	9737
[41.9, -87.82]	1
[41.91, -87.63]	1181044
[41.93, -87.72]	15191
[41.94, -87.68]	139460
[41.95, -87.81]	32240
[41.96, -87.77]	13028
[41.99, -87.74]	2128
[42.0, -87.68]	1762
[42.01, -87.74]	206
[42.03, -87.83]	2
[41.75, -87.64]	3
[41.77, -87.73]	1
[41.78, -87.69]	8
[41.81, -87.72]	4749
[41.81, -87.7]	253
[41.82, -87.68]	1466
[41.84, -87.77]	454
[41.87, -87.74]	776
[41.91, -87.73]	9958
[41.92, -87.69]	47001
[41.92, -87.7]	37235
[41.93, -87.82]	103
[41.94, -87.78]	12111
[42.0, -87.78]	10
[42.07, -87.75]	11
[41.85, -87.64]	27347
[41.88, -87.61]	5
[41.9, -87.66]	1548131
[41.91, -87.83]	19
[41.92, -87.79]	29
[41.95, -87.65]	1016125
[41.97, -87.74]	20232
[42.0, -87.8]	32
[42.05, -87.76]	993
[41.72, -87.7]	3
[41.76, -87.61]	142
[41.77, -87.57]	2
[41.79, -87.66]	1008
[41.8, -87.6]	611
[41.83, -87.65]	3982
[41.83, -87.7]	51522
[41.85, -87.74]	582
[41.86, -87.62]	256599
[41.88, -87.71]	3452
[41.89, -87.67]	211556
[41.9, -87.76]	117
[41.93, -87.66]	996180
[41.94, -87.7]	53850
[41.95, -87.75]	1638
[41.97, -87.84]	19286
[41.98, -87.72]	100609
[41.99, -87.68]	7192
[42.03, -87.77]	1
[42.05, -87.86]	1
[41.74, -87.62]	6
[41.75, -87.58]	1
[41.76, -87.71]	3
[41.77, -87.67]	490
[41.79, -87.76]	1871
[41.81, -87.66]	628
[41.83, -87.75]	132
[41.85, -87.8]	462
[41.86, -87.72]	14812
[41.87, -87.68]	9156
[41.88, -87.81]	45
[41.89, -87.77]	345
[41.91, -87.67]	415595
[41.93, -87.76]	908
[41.95, -87.85]	23
[41.96, -87.8]	3593
[41.99, -87.78]	33
[42.01, -87.78]	16
[42.08, -87.82]	76
[41.8, -87.64]	1844
[41.81, -87.76]	502
[41.84, -87.62]	12611
[41.86, -87.82]	15
[41.87, -87.78]	197
[41.91, -87.77]	190
[41.96, -87.72]	17115
[41.97, -87.68]	27809
[41.98, -87.9]	7244
[42.04, -87.74]	2260
[41.72, -87.62]	4
[41.78, -87.64]	345
[41.8, -87.74]	371
[41.82, -87.63]	2659
