Degrees Latitude,Degrees Longitude,Density
41.85,-87.73,1.934498451
41.86,-87.61,0.903089987
41.89,-87.66,5.055160365
41.9,-87.75,1.544068044
41.93,-87.65,6.0492029
41.95,-87.74,2.649334859
41.97,-87.83,2.480006943
41.98,-87.71,2.909556029
41.99,-87.67,3.005180513
42.03,-87.76,2.367355921
41.75,-87.57,0.301029996
41.77,-87.66,1.653212514
41.79,-87.75,2.227886705
41.81,-87.65,2.910090546
41.83,-87.74,1.633468456
41.85,-87.7,2.974050903
41.86,-87.71,2.877946952
41.87,-87.67,3.842734019
41.89,-87.76,1.146128036
41.91,-87.66,5.511104943
41.93,-87.75,4.202379321
41.95,-87.84,2.716837723
41.96,-87.7,3.72427587
41.98,-87.81,1.146128036
41.99,-87.77,1.886490725
42.01,-87.77,0
42.03,-87.86,0
41.75,-87.67,0.301029996
41.8,-87.63,2.017033339
41.81,-87.75,1.230448921
41.84,-87.61,1.591064607
41.87,-87.8,0.301029996
41.91,-87.76,1.361727836
41.96,-87.71,3.94156112
41.97,-87.67,4.094960002
41.98,-87.8,1.041392685
41.98,-87.91,4.979165809
42.06,-87.82,1.826074803
41.78,-87.63,1.505149978
41.79,-87.59,1.230448921
41.8,-87.73,2.075546961
41.82,-87.62,3.130976692
41.84,-87.71,3.558228422
41.85,-87.67,4.071697945
41.88,-87.64,6.121999824
41.9,-87.69,4.153936754
41.92,-87.63,3.791339704
41.94,-87.72,3.102090526
41.95,-87.68,4.464489547
41.96,-87.81,2.278753601
41.97,-87.77,1.959041392
41.98,-87.65,1.079181246
42.02,-87.74,2.181843588
41.73,-87.67,1.77815125
41.76,-87.64,0.84509804
41.79,-87.69,0.77815125
41.82,-87.72,3.07114529
41.83,-87.68,2.225309282
41.86,-87.65,3.97308165
41.88,-87.74,2.78604121
41.9,-87.79,0.77815125
41.91,-87.7,3.447778009
41.92,-87.73,3.93540649
41.93,-87.69,4.030194785
41.94,-87.82,2.292256071
41.95,-87.78,3.115277591
41.97,-87.87,3.484726804
41.98,-87.75,1.886490725
42,-87.82,2.432969291
42.08,-87.75,0.602059991
41.74,-87.65,0.477121255
41.77,-87.6,1.079181246
41.81,-87.69,1.838849091
41.83,-87.78,0.698970004
41.86,-87.75,1.230448921
41.93,-87.79,1.672097858
41.96,-87.65,3.892706638
41.98,-87.85,1.176091259
42.06,-87.76,2.389166084
41.77,-87.61,0.698970004
41.8,-87.67,0.954242509
41.84,-87.65,3.603360924
41.87,-87.62,5.419152469
41.89,-87.71,3.020775488
41.93,-87.7,3.976212377
41.94,-87.66,5.136095621
41.96,-87.75,2.235528447
41.99,-87.72,4.359683737
42,-87.66,1
42.04,-87.77,0.301029996
41.72,-87.65,0
41.75,-87.62,1.079181246
41.76,-87.58,0
41.77,-87.71,0
41.79,-87.6,2.404833717
41.82,-87.66,2.860936621
41.84,-87.75,0.954242509
41.87,-87.72,2.740362689
41.88,-87.68,3.929265618
41.9,-87.7,3.930082633
41.91,-87.71,3.909020854
41.92,-87.67,4.88982814
41.94,-87.76,3.062957834
41.95,-87.8,3.214578954
41.96,-87.85,3.666985718
41.98,-87.69,3.585799009
42,-87.76,3.738780558
42.01,-87.82,0
41.74,-87.59,0
41.82,-87.76,0
41.85,-87.62,4.31105419
41.86,-87.69,2.909020854
41.9,-87.64,6.032386242
41.92,-87.77,2.012837225
41.97,-87.72,4.108091236
41.98,-87.79,0.602059991
