Degrees Latitude,Degrees Longitude,Density
41.73,-87.62,0.477121255
41.79,-87.64,2.876794976
41.83,-87.63,3.656960183
41.85,-87.72,3.407560849
41.89,-87.65,6.059961181
41.9,-87.74,2.839478047
41.93,-87.64,5.86510042
41.95,-87.73,4.208118741
41.96,-87.69,4.226883328
41.97,-87.82,2.712649702
41.98,-87.89,3.450403086
41.99,-87.66,4.264038226
42.03,-87.75,2.696356389
42.08,-87.9,0
41.71,-87.63,1.255272505
41.74,-87.6,0
41.77,-87.65,2.012837225
41.79,-87.74,0.698970004
41.81,-87.64,3.825750581
41.83,-87.73,2.217483944
41.84,-87.69,3.946746935
41.87,-87.66,5.148870922
41.89,-87.75,2.540329475
41.9,-87.84,2.23299611
41.91,-87.65,5.960357075
41.93,-87.74,4.326007968
41.95,-87.83,3.318063335
41.96,-87.79,3.216957207
41.99,-87.76,4.374546728
42.01,-87.76,3.317436497
41.76,-87.7,0
41.8,-87.62,2.67669361
41.81,-87.74,2.5774918
41.84,-87.79,1.51851394
41.87,-87.76,1.361727836
41.87,-87.7,3.798719685
41.91,-87.75,3.367542274
41.93,-87.84,0
41.97,-87.66,6.044388829
41.98,-87.7,2.866877814
42.07,-87.77,0
41.78,-87.62,1.447158031
41.79,-87.58,0.301029996
41.8,-87.72,1.832508913
41.82,-87.61,3.1430148
41.85,-87.66,4.463907913
41.88,-87.63,6.82374913
41.9,-87.68,4.827789147
41.94,-87.71,4.421850615
41.95,-87.67,5.403094772
41.97,-87.76,3.330616667
42,-87.71,1.716003344
42.02,-87.73,0.84509804
42.04,-87.82,0.602059991
42.05,-87.78,3.223755454
42.07,-87.87,0.477121255
41.76,-87.63,2.876217841
41.77,-87.59,1.579783597
41.78,-87.72,1.041392685
41.78,-87.7,0.903089987
41.79,-87.68,1.799340549
41.82,-87.71,4.938609777
41.83,-87.67,3.302763708
41.85,-87.76,1.505149978
41.86,-87.64,4.522222465
41.88,-87.73,4.143608035
41.89,-87.69,4.219794027
41.89,-87.7,3.858477042
41.9,-87.78,0.77815125
41.92,-87.72,5.25167958
41.93,-87.68,5.444185372
41.94,-87.81,2.456366033
41.95,-87.77,3.591954555
41.97,-87.86,2.8876173
41.98,-87.74,5.380817022
42.02,-87.83,1.819543936
41.77,-87.69,0.477121255
41.81,-87.68,2.056904851
41.82,-87.7,3.383635868
41.86,-87.74,2.489958479
41.89,-87.79,1
41.91,-87.69,4.881732638
41.92,-87.82,1.204119983
41.93,-87.78,1.342422681
42.06,-87.75,0.903089987
41.8,-87.66,2.82672252
41.84,-87.64,4.187153954
41.87,-87.61,1.602059991
41.91,-87.79,2.496929648
41.94,-87.65,6.257826834
41.96,-87.74,3.255513713
41.99,-87.71,2.421603927
42.04,-87.76,3.003891166
41.73,-87.7,1.301029996
41.75,-87.61,1.361727836
41.76,-87.57,0.301029996
41.78,-87.66,3.475671188
41.8,-87.76,3.863679668
41.82,-87.65,2.960470778
41.84,-87.74,2.648360011
41.84,-87.7,3.716003344
41.87,-87.71,3.600972896
41.88,-87.67,4.60815148
41.92,-87.66,5.920013173
41.94,-87.75,3.736396502
41.95,-87.7,4.796199541
41.96,-87.84,3.576916956
41.98,-87.68,4.366591039
41.99,-87.81,1.963787827
42,-87.75,2.598790507
42.02,-87.77,1.301029996
42.04,-87.86,0
41.74,-87.58,0
41.75,-87.71,0
41.76,-87.67,2.442479769
41.78,-87.76,0.301029996
41.82,-87.75,2.136720567
41.85,-87.61,1.913813852
41.86,-87.68,3.997561116
41.88,-87.77,2.515873844
41.9,-87.63,6.611443741
41.92,-87.76,3.331022171
41.94,-87.85,1.591064607
41.97,-87.71,3.662001879
41.97,-87.8,2.583198774
41.98,-87.78,2.45484486
42.07,-87.82,2.008600172
41.74,-87.68,0.301029996
41.79,-87.63,3.315550534
41.83,-87.62,3.972387999
41.85,-87.71,3.440909082
41.86,-87.78,2.342422681
41.89,-87.64,6.412737668
41.9,-87.73,3.627263417
41.92,-87.86,0.602059991
41.95,-87.72,4.748343104
41.96,-87.68,4.776846409
41.97,-87.81,1.954242509
41.98,-87.88,3.169968174
42.03,-87.74,3.030599722
